t,x_x(t) [cube 2],x_y(t) [cube 2],x_z(t) [cube 2],F(t) [cube 2]
2.259999,8.583303,-1.288988,-8.737314E-07,6.154295
2.279999,8.625792,-1.408432,-9.032067E-07,6.338798
2.299999,8.66828,-1.531801,-9.326821E-07,6.523982
2.319999,8.710768,-1.659093,-9.621574E-07,6.709793
2.339998,8.753256,-1.790309,-9.916328E-07,6.896179
2.359998,8.795744,-1.925449,-1.021108E-06,7.083095
2.379998,8.838232,-2.064513,-1.050583E-06,7.2705
2.399998,8.88072,-2.207501,-1.080059E-06,7.458358
2.419998,8.923208,-2.354413,-1.109534E-06,7.646635
2.439998,8.965696,-2.505249,-1.13901E-06,7.8353
2.459998,9.008184,-2.660009,-1.168485E-06,8.024327
2.479998,9.050673,-2.818693,-1.19796E-06,8.213691
2.499998,9.093161,-2.981302,-1.227436E-06,8.403368
2.519998,9.135649,-3.147834,-1.256911E-06,8.593338
2.539998,9.178137,-3.31829,-1.286386E-06,8.783583
2.559998,9.220625,-3.49267,-1.315862E-06,8.974083
2.579998,9.263113,-3.670974,-1.345337E-06,9.164824
2.599998,9.305601,-3.853202,-1.374812E-06,9.355792
2.619998,9.348089,-4.039354,-1.404288E-06,9.546971
2.639998,9.390577,-4.229431,-1.433763E-06,9.73835
2.659998,9.433065,-4.423431,-1.463239E-06,9.929917
2.679998,9.475554,-4.621355,-1.492714E-06,10.12166
2.699998,9.518042,-4.823203,-1.522189E-06,10.31357
2.719998,9.56053,-5.028975,-1.551665E-06,10.50564
2.739998,9.603018,-5.238672,-1.58114E-06,10.69787
2.759998,9.645506,-5.452292,-1.610615E-06,10.89023
2.779998,9.687994,-5.669836,-1.640091E-06,11.08273
2.799998,9.730482,-5.891304,-1.669566E-06,11.27535
2.819998,9.77297,-6.116696,-1.699041E-06,11.4681
2.839998,9.815458,-6.346013,-1.728517E-06,11.66096
2.859998,9.857946,-6.579253,-1.757992E-06,11.85393
2.879998,9.900434,-6.816417,-1.787467E-06,12.047
2.899998,9.942923,-7.057505,-1.816943E-06,12.24018
2.919998,9.985411,-7.302517,-1.846418E-06,12.43345
2.939998,10.0279,-7.551454,-1.875894E-06,12.62681
2.959998,10.07039,-7.804314,-1.905369E-06,12.82025
2.979998,10.11287,-8.061098,-1.934844E-06,13.01378
2.999998,10.15536,-8.321806,-1.96432E-06,13.20739
3.019998,10.19785,-8.586438,-1.993795E-06,13.40107
3.039998,10.24034,-8.854995,-2.02327E-06,13.59483
3.059998,10.28283,-9.127475,-2.052746E-06,13.78865
3.079998,10.32532,-9.403879,-2.082221E-06,13.98254
3.099998,10.3678,-9.684208,-2.111696E-06,14.1765
