t,F(t) [cube 1],x(t) [cube 1]
3.779997,0.6917844,-4.784427
3.799997,0.6908149,-4.795888
3.819997,0.6898453,-4.807311
3.839997,0.6888757,-4.818697
3.859997,0.6879061,-4.830045
3.879997,0.6869366,-4.841356
3.899997,0.6859669,-4.85263
3.919997,0.6849973,-4.863866
3.939997,0.6840276,-4.875064
3.959997,0.683058,-4.886226
3.979997,0.6820883,-4.897349
3.999997,0.6811186,-4.908436
4.019997,0.6801489,-4.919485
4.039997,0.6791793,-4.930497
4.059997,0.6782095,-4.941471
4.079997,0.6772398,-4.952408
4.099997,0.6762701,-4.963307
4.119997,0.6753004,-4.97417
4.139997,0.6743307,-4.984995
4.159997,0.6733609,-4.995782
4.179997,0.6723911,-5.006533
4.199997,0.6714214,-5.017246
4.219997,0.6704516,-5.027922
4.239997,0.6694818,-5.03856
4.259997,0.668512,-5.049162
4.279997,0.6675422,-5.059726
4.299997,0.6665724,-5.070253
4.319997,0.6656026,-5.080743
4.339997,0.6646327,-5.091196
4.359997,0.6636629,-5.101612
4.379997,0.662693,-5.11199
4.399997,0.6617231,-5.122331
4.419997,0.6607532,-5.132636
4.439997,0.6597833,-5.142903
4.459997,0.6588134,-5.153133
4.479997,0.6578435,-5.163326
4.499997,0.6568735,-5.173482
4.519997,0.6559036,-5.183602
4.539997,0.6549336,-5.193685
4.559997,0.6539637,-5.20373
4.579997,0.6529937,-5.213739
4.599997,0.6520237,-5.223711
4.619997,0.6510537,-5.233646
4.639997,0.6500838,-5.243545
4.659997,0.6491137,-5.253407
4.679996,0.6481437,-5.263232
4.699996,0.6471737,-5.273021
4.719996,0.6462036,-5.282773
4.739996,0.6452336,-5.292488
4.759996,0.6442636,-5.302166
4.779996,0.6432935,-5.311808
4.799996,0.6423234,-5.321414
4.819996,0.6413533,-5.330983
4.839996,0.6403832,-5.340516
4.859996,0.6394131,-5.350012
4.879996,0.638443,-5.359472
4.899996,0.6374729,-5.368896
4.919996,0.6365027,-5.378283
4.939996,0.6355326,-5.387634
4.959996,0.6345624,-5.396949
4.979996,0.6335923,-5.406228
4.999996,0.6326221,-5.415471
5.019996,0.6316519,-5.424677
5.039996,0.6306818,-5.433848
5.059996,0.6297116,-5.442983
5.079996,0.6287413,-5.452081
5.099996,0.6277711,-5.461144
5.119996,0.6268009,-5.470171
5.139996,0.6258307,-5.479162
5.159996,0.6248604,-5.488118
5.179996,0.6238902,-5.497037
5.199996,0.6229199,-5.505921
5.219996,0.6219496,-5.51477
5.239996,0.6209793,-5.523582
5.259996,0.6200091,-5.53236
5.279996,0.6190388,-5.541101
5.299996,0.6180685,-5.549808
5.319996,0.6170981,-5.558478
5.339996,0.6161278,-5.567114
5.359996,0.6151574,-5.575714
5.379996,0.6141871,-5.584279
5.399996,0.6132167,-5.592809
5.419996,0.6122464,-5.601304
5.439996,0.611276,-5.609763
5.459996,0.6103056,-5.618188
