t,v(t) [cube 1],x(t) [cube 1],F(t) [cube 1],v(t) [cube 2],x(t) [cube 2],F(t) [cube 2],distance
1.379999,1.120539,-3.390937,1.120539,1.120539,-1.158362,1.120539,1.232575
1.399999,1.120539,-3.368526,1.120539,1.120539,-1.135951,1.120539,1.232575
1.419999,1.120539,-3.346116,1.120539,1.120539,-1.113541,1.120539,1.232575
1.439999,1.120539,-3.323705,1.120539,1.120539,-1.09113,1.120539,1.232575
1.459999,1.120539,-3.301294,1.120539,1.120539,-1.068719,1.120539,1.232575
1.479999,1.120539,-3.278883,1.120539,1.120539,-1.046308,1.120539,1.232575
1.499999,1.120539,-3.256472,1.120539,1.120539,-1.023898,1.120539,1.232575
1.519999,1.120539,-3.234061,1.120539,1.120539,-1.001487,1.120539,1.232574
1.539999,1.120539,-3.21165,1.120539,1.120539,-0.979076,1.120539,1.232574
1.559999,1.120539,-3.18924,1.120539,1.120539,-0.9566653,1.120539,1.232574
1.579999,1.120539,-3.166829,1.120539,1.120539,-0.9342545,1.120539,1.232574
1.599999,1.120539,-3.144418,1.120539,1.120539,-0.9118438,1.120539,1.232574
1.619999,1.120539,-3.122007,1.120539,1.120539,-0.889433,1.120539,1.232574
1.639999,1.120539,-3.099596,1.120539,1.120539,-0.8670223,1.120539,1.232574
1.659999,1.120539,-3.077185,1.120539,1.120539,-0.8446115,1.120539,1.232574
1.679999,1.120539,-3.054774,1.120539,1.120539,-0.8222008,1.120539,1.232574
1.699999,1.120539,-3.032363,1.120539,1.120539,-0.79979,1.120539,1.232573
1.719999,1.120539,-3.009953,1.120539,1.120539,-0.7773793,1.120539,1.232573
1.739999,1.120539,-2.987542,1.120539,1.120539,-0.7549685,1.120539,1.232573
1.759999,1.120539,-2.965131,1.120539,1.120539,-0.7325578,1.120539,1.232573
1.779999,1.120539,-2.94272,1.120539,1.120539,-0.710147,1.120539,1.232573
1.799999,1.120539,-2.920309,1.120539,1.120539,-0.6877363,1.120539,1.232573
1.819999,1.120539,-2.897898,1.120539,1.120539,-0.6653255,1.120539,1.232573
1.839999,1.120539,-2.875487,1.120539,1.120539,-0.6429148,1.120539,1.232573
1.859999,1.120539,-2.853076,1.120539,1.120539,-0.620504,1.120539,1.232572
1.879999,1.120539,-2.830666,1.120539,1.120539,-0.5980933,1.120539,1.232572
1.899999,1.120539,-2.808255,1.120539,1.120539,-0.5756825,1.120539,1.232572
1.919999,1.120539,-2.785844,1.120539,1.120539,-0.5532718,1.120539,1.232572
1.939999,1.120539,-2.763433,1.120539,1.120539,-0.530861,1.120539,1.232572
1.959999,1.120539,-2.741022,1.120539,1.120539,-0.5084503,1.120539,1.232572
1.979999,1.120539,-2.718611,1.120539,1.120539,-0.4860395,1.120539,1.232572
1.999999,1.120539,-2.6962,1.120539,1.120539,-0.4636287,1.120539,1.232572
2.019999,1.120539,-2.67379,1.120539,1.120539,-0.4412179,1.120539,1.232572
2.039999,1.120539,-2.651379,1.120539,1.120539,-0.4188071,1.120539,1.232571
2.059999,1.120539,-2.628968,1.120539,1.120539,-0.3963964,1.120539,1.232571
2.079999,1.120539,-2.606557,1.120539,1.120539,-0.3739856,1.120539,1.232571
2.099999,1.120539,-2.584146,1.120539,1.120539,-0.3515748,1.120539,1.232571
2.119999,1.120539,-2.561735,1.120539,1.120539,-0.329164,1.120539,1.232571
2.139999,1.120539,-2.539324,1.120539,1.120539,-0.3067532,1.120539,1.232571
2.159999,1.120539,-2.516913,1.120539,1.120539,-0.2843425,1.120539,1.232571
2.179999,1.120539,-2.494503,1.120539,1.120539,-0.2619317,1.120539,1.232571
2.199999,1.120539,-2.472092,1.120539,1.120539,-0.2395209,1.120539,1.232571
2.219999,1.120539,-2.449681,1.120539,1.120539,-0.2171101,1.120539,1.232571
2.239999,1.120539,-2.42727,1.120539,1.120539,-0.1946993,1.120539,1.232571
2.259999,1.120539,-2.404859,1.120539,1.120539,-0.1722886,1.120539,1.232571
2.279999,1.120539,-2.382448,1.120539,1.120539,-0.1498778,1.120539,1.23257
2.299999,1.120539,-2.360037,1.120539,1.120539,-0.127467,1.120539,1.23257
2.319999,1.120539,-2.337626,1.120539,1.120539,-0.1050562,1.120539,1.23257
2.339998,1.120539,-2.315216,1.120539,1.120539,-0.08264545,1.120539,1.23257
2.359998,1.120539,-2.292805,1.120539,1.120539,-0.06023467,1.120539,1.23257
2.379998,1.120539,-2.270394,1.120539,1.120539,-0.03782389,1.120539,1.23257
2.399998,1.120539,-2.247983,1.120539,1.120539,-0.01541311,1.120539,1.23257
2.419998,1.120539,-2.225572,1.120539,1.120539,0.006997671,1.120539,1.23257
2.439998,1.120539,-2.203161,1.120539,1.120539,0.02940845,1.120539,1.23257
2.459998,1.120539,-2.18075,1.120539,1.120539,0.05181923,1.120539,1.23257
2.479998,1.120539,-2.15834,1.120539,1.120539,0.07423001,1.120539,1.232569
2.499998,1.120539,-2.135929,1.120539,1.120539,0.09664079,1.120539,1.232569
2.519998,1.120539,-2.113518,1.120539,1.120539,0.1190516,1.120539,1.232569
