t,v(t) [cube 1],x(t) [cube 1],F(t) [cube 1],v(t) [cube 2],x(t) [cube 2],F(t) [cube 2],distance
6.599995,-0.8738265,0.1030575,0.8738265,2.117722,5.868471,2.117722,4.765413
6.619995,-0.8738265,0.08558095,0.8738265,2.117722,5.910825,2.117722,4.825244
6.639995,-0.8738265,0.06810442,0.8738265,2.117722,5.95318,2.117722,4.885076
6.659995,-0.8738265,0.05062789,0.8738265,2.117722,5.995534,2.117722,4.944907
6.679995,-0.8738265,0.03315136,0.8738265,2.117722,6.037889,2.117722,5.004738
6.699995,-0.8738265,0.01567483,0.8738265,2.117722,6.080244,2.117722,5.064569
6.719995,-0.8738265,-0.001801699,0.8738265,2.117722,6.122598,2.117722,5.1244
6.739995,-0.8738265,-0.01927823,0.8738265,2.117722,6.164953,2.117722,5.184231
6.759995,-0.8738265,-0.03675476,0.8738265,2.117722,6.207307,2.117722,5.244062
6.779994,-0.8738265,-0.05423129,0.8738265,2.117722,6.249662,2.117722,5.303893
6.799994,-0.8738265,-0.07170781,0.8738265,2.117722,6.292017,2.117722,5.363724
6.819994,-0.8738265,-0.08918434,0.8738265,2.117722,6.334371,2.117722,5.423555
6.839994,-0.8738265,-0.1066609,0.8738265,2.117722,6.376726,2.117722,5.483387
6.859994,-0.8738265,-0.1241374,0.8738265,2.117722,6.41908,2.117722,5.543218
6.879994,-0.8738265,-0.1416139,0.8738265,2.117722,6.461435,2.117722,5.603049
6.899994,-0.8738265,-0.1590905,0.8738265,2.117722,6.503789,2.117722,5.66288
6.919994,-0.8738265,-0.176567,0.8738265,2.117722,6.546144,2.117722,5.722711
6.939994,-0.8738265,-0.1940435,0.8738265,2.117722,6.588499,2.117722,5.782542
6.959994,-0.8738265,-0.21152,0.8738265,2.117722,6.630853,2.117722,5.842373
6.979994,-0.8738265,-0.2289966,0.8738265,2.117722,6.673208,2.117722,5.902205
6.999994,-0.8738265,-0.2464731,0.8738265,2.117722,6.715562,2.117722,5.962036
7.019994,-0.8738265,-0.2639496,0.8738265,2.117722,6.757917,2.117722,6.021867
7.039994,-0.8738265,-0.2814262,0.8738265,2.117722,6.800272,2.117722,6.081697
7.059994,-0.8738265,-0.2989027,0.8738265,2.117722,6.842626,2.117722,6.141529
7.079994,-0.8738265,-0.3163792,0.8738265,2.117722,6.884981,2.117722,6.20136
7.099994,-0.8738265,-0.3338557,0.8738265,2.117723,6.927335,2.117723,6.261191
7.119994,-0.8738265,-0.3513323,0.8738265,2.117724,6.96969,2.117724,6.321022
7.139994,-0.8738265,-0.3688088,0.8738265,2.117731,7.012044,2.117731,6.380853
7.159994,-0.8738265,-0.3862853,0.8738265,2.117758,7.054399,2.117758,6.440685
7.179994,-0.8738265,-0.4037619,0.8738265,2.117791,7.096756,2.117797,6.500517
7.199994,-0.8738265,-0.4212384,0.8738265,2.117915,7.139114,2.118032,6.560352
7.219994,-0.8738265,-0.4387149,0.8738265,2.118372,7.181481,2.119172,6.620196
7.239994,-0.8738265,-0.4561915,0.8738265,2.119224,7.223866,2.122199,6.680058
7.259994,-0.8738265,-0.473668,0.8738265,2.120124,7.266268,2.127901,6.739936
7.279994,-0.8738265,-0.4911445,0.8738265,2.121276,7.308694,2.139179,6.799839
7.299994,-0.8738265,-0.508621,0.8738265,2.122723,7.351148,2.157381,6.859769
7.319994,-0.8738265,-0.5260975,0.8738265,2.124409,7.393636,2.184254,6.919734
7.339994,-0.8738265,-0.5435741,0.8738265,2.124409,7.436124,2.212773,6.979698
7.359994,-0.8738265,-0.5610507,0.8738265,2.124409,7.478612,2.26223,7.039663
7.379994,-0.8738265,-0.5785272,0.8738265,2.124409,7.521101,2.320782,7.099627
7.399994,-0.8738265,-0.5960038,0.8738265,2.124409,7.563589,2.390464,7.159593
7.419994,-0.8738265,-0.6134803,0.8738265,2.124409,7.606077,2.471702,7.219557
7.439994,-0.8738265,-0.6309569,0.8738265,2.124409,7.648565,2.577512,7.279522
7.459994,-0.8738265,-0.6484334,0.8738265,2.124409,7.691053,2.693476,7.339486
7.479994,-0.8738265,-0.66591,0.8738265,2.124409,7.733541,2.818341,7.399451
7.499994,-0.8738265,-0.6833866,0.8738265,2.124409,7.776029,2.950977,7.459415
7.519994,-0.8738265,-0.7008631,0.8738265,2.124409,7.818517,3.090385,7.519381
7.539994,-0.8738265,-0.7183397,0.8738265,2.124409,7.861005,3.235688,7.579345
7.559994,-0.8738265,-0.7358162,0.8738265,2.124409,7.903493,3.386128,7.63931
7.579994,-0.8738265,-0.7532928,0.8738265,2.124409,7.945982,3.541051,7.699274
7.599994,-0.8738265,-0.7707694,0.8738265,2.124409,7.98847,3.699893,7.759239
7.619994,-0.8738265,-0.7882459,0.8738265,2.124409,8.030958,3.862171,7.819204
7.639994,-0.8738265,-0.8057225,0.8738265,2.124409,8.073446,4.027469,7.879169
7.659994,-0.8738265,-0.823199,0.8738265,2.124409,8.115934,4.195431,7.939134
7.679994,-0.8738265,-0.8406756,0.8738265,2.124409,8.158422,4.365748,7.999098
7.699994,-0.8738265,-0.8581522,0.8738265,2.124409,8.200911,4.538157,8.059063
7.719994,-0.8738265,-0.8756287,0.8738265,2.124409,8.243399,4.712427,8.119027
7.739994,-0.8738265,-0.8931053,0.8738265,2.124409,8.285887,4.888359,8.178992
7.759994,-0.8738265,-0.9105818,0.8738265,2.124409,8.328375,5.065781,8.238956
7.779994,-0.8738265,-0.9280584,0.8738265,2.124409,8.370863,5.24454,8.298922
7.799994,-0.8738265,-0.9455349,0.8738265,2.124409,8.413351,5.424505,8.358886
7.819993,-0.8738265,-0.9630115,0.8738265,2.124409,8.455839,5.605559,8.418851
7.839993,-0.8738265,-0.9804881,0.8738265,2.124409,8.498327,5.787601,8.478815
7.859993,-0.8738265,-0.9979646,0.8738265,2.124409,8.540815,5.97054,8.53878
7.879993,-0.8738265,-1.015441,0.8738265,2.124409,8.583303,6.154295,8.598744
7.899993,-0.8738265,-1.032918,0.8738265,2.124409,8.625792,6.338798,8.65871
7.919993,-0.8738265,-1.050394,0.8738265,2.124409,8.66828,6.523982,8.718674
7.939993,-0.8738265,-1.067871,0.8738265,2.124409,8.710768,6.709793,8.778639
7.959993,-0.8738265,-1.085347,0.8738265,2.124409,8.753256,6.896179,8.838603
7.979993,-0.8738265,-1.102824,0.8738265,2.124409,8.795744,7.083095,8.898568
7.999993,-0.8738265,-1.120301,0.8738265,2.124409,8.838232,7.2705,8.958532
8.019994,-0.8738265,-1.137777,0.8738265,2.124409,8.88072,7.458358,9.018497
8.039994,-0.8738265,-1.155254,0.8738265,2.124409,8.923208,7.646635,9.078462
8.059995,-0.8738265,-1.17273,0.8738265,2.124409,8.965696,7.8353,9.138427
8.079995,-0.8738265,-1.190207,0.8738265,2.124409,9.008184,8.024327,9.198391
8.099996,-0.8738265,-1.207683,0.8738265,2.124409,9.050673,8.213691,9.258356
8.119996,-0.8738265,-1.22516,0.8738265,2.124409,9.093161,8.403368,9.31832
8.139997,-0.8738265,-1.242636,0.8738265,2.124409,9.135649,8.593338,9.378285
8.159997,-0.8738265,-1.260113,0.8738265,2.124409,9.178137,8.783583,9.43825
8.179997,-0.8738265,-1.27759,0.8738265,2.124409,9.220625,8.974083,9.498215
8.199998,-0.8738265,-1.295066,0.8738265,2.124409,9.263113,9.164824,9.558179
8.219998,-0.8738265,-1.312543,0.8738265,2.124409,9.305601,9.355792,9.618144
8.239999,-0.8738265,-1.330019,0.8738265,2.124409,9.348089,9.546971,9.678108
8.259999,-0.8738265,-1.347496,0.8738265,2.124409,9.390577,9.73835,9.738073
8.28,-0.8738265,-1.364972,0.8738265,2.124409,9.433065,9.929917,9.798038
8.3,-0.8738265,-1.382449,0.8738265,2.124409,9.475554,10.12166,9.858003
8.320001,-0.8738265,-1.399925,0.8738265,2.124409,9.518042,10.31357,9.917967
8.340001,-0.8738265,-1.417402,0.8738265,2.124409,9.56053,10.50564,9.977932
8.360002,-0.8738265,-1.434879,0.8738265,2.124409,9.603018,10.69787,10.0379
8.380002,-0.8738265,-1.452355,0.8738265,2.124409,9.645506,10.89023,10.09786
8.400002,-0.8738265,-1.469832,0.8738265,2.124409,9.687994,11.08273,10.15783
8.420003,-0.8738265,-1.487308,0.8738265,2.124409,9.730482,11.27535,10.21779
8.440003,-0.8738265,-1.504785,0.8738265,2.124409,9.77297,11.4681,10.27775
8.460004,-0.8738265,-1.522261,0.8738265,2.124409,9.815458,11.66096,10.33772
8.480004,-0.8738265,-1.539738,0.8738265,2.124409,9.857946,11.85393,10.39768
8.500005,-0.8738265,-1.557214,0.8738265,2.124409,9.900434,12.047,10.45765
8.520005,-0.8738265,-1.574691,0.8738265,2.124409,9.942923,12.24018,10.51761
8.540006,-0.8738265,-1.592168,0.8738265,2.124409,9.985411,12.43345,10.57758
8.560006,-0.8738265,-1.609644,0.8738265,2.124409,10.0279,12.62681,10.63754
8.580007,-0.8738265,-1.627121,0.8738265,2.124409,10.07039,12.82025,10.69751
8.600007,-0.8738265,-1.644597,0.8738265,2.124409,10.11287,13.01378,10.75747
8.620008,-0.8738265,-1.662074,0.8738265,2.124409,10.15536,13.20739,10.81744
8.640008,-0.8738265,-1.67955,0.8738265,2.124409,10.19785,13.40107,10.8774
8.660008,-0.8738265,-1.697027,0.8738265,2.124409,10.24034,13.59483,10.93737
8.680009,-0.8738265,-1.714504,0.8738265,2.124409,10.28283,13.78865,10.99733
8.700009,-0.8738265,-1.73198,0.8738265,2.124409,10.32532,13.98254,11.0573
8.72001,-0.8738265,-1.749457,0.8738265,2.124409,10.3678,14.1765,11.11726
8.74001,-0.8738265,-1.766933,0.8738265,2.124409,10.41029,14.37051,11.17723
8.760011,-0.8738265,-1.78441,0.8738265,2.124409,10.45278,14.56458,11.23719
8.780011,-0.8738265,-1.801886,0.8738265,2.124409,10.49527,14.75871,11.29715
8.800012,-0.8738265,-1.819363,0.8738265,2.124409,10.53776,14.9529,11.35712
8.820012,-0.8738265,-1.836839,0.8738265,2.124409,10.58024,15.14713,11.41708
8.840013,-0.8738265,-1.854316,0.8738265,2.124409,10.62273,15.34142,11.47705
8.860013,-0.8738265,-1.871793,0.8738265,2.124409,10.66522,15.53575,11.53701
8.880013,-0.8738265,-1.889269,0.8738265,2.124409,10.70771,15.73013,11.59698
8.900014,-0.8738265,-1.906746,0.8738265,2.124409,10.7502,15.92456,11.65694
8.920014,-0.8738265,-1.924222,0.8738265,2.124409,10.79268,16.11903,11.71691
8.940015,-0.8738265,-1.941699,0.8738265,2.124409,10.83517,16.31354,11.77687
8.960015,-0.8738265,-1.959175,0.8738265,2.124409,10.87766,16.50808,11.83684
8.980016,-0.8738265,-1.976652,0.8738265,2.124409,10.92015,16.70267,11.8968
9.000016,-0.8738265,-1.994128,0.8738265,2.124409,10.96264,16.89729,11.95677
9.020017,-0.8738265,-2.011605,0.8738265,2.124409,11.00513,17.09196,12.01673
